treatment,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
static,0.2,2,160,900,2.2066666666666666,0.9089432203266482,0.49607057876259775,0.017969133329029222,0.11755705575449597,0.9264178232993319
static,0.2,2,180,900,2.1622222222222223,0.8846314710127449,0.5015641101203637,0.01781995009840249,0.1129327538946451,0.9263074806064426
static,0.2,2,200,900,2.1655555555555557,0.9239602097145755,0.49668045413733186,0.015524866613499265,0.12038103469318716,0.9369425104505994
static,0.5,0,0,900,3.5144444444444445,1.7316697857598544,0.4899737396477577,0.1945737928518851,0.07357554495790683,0.021388155962822286
static,0.5,0,20,900,2.928888888888889,1.5410850754830323,0.4971151426903803,0.04561429770572139,0.0924675978013261,0.7992803160668097
static,0.5,0,40,900,2.4677777777777776,1.2666954187769914,0.49025716254430945,0.019861532576660353,0.10999747229653861,0.9177580264673764
static,0.5,0,60,900,2.212222222222222,1.0946666441106145,0.4999879610947203,0.017070725442825868,0.11094849177436919,0.9293000162521678
static,0.5,0,80,900,2.1044444444444443,0.9534628246684248,0.5102391738558625,0.0160737496028423,0.11149511010386567,0.9340008764747898
static,0.5,0,100,900,1.9211111111111112,0.8840556096692416,0.5044290126321744,0.01354934602988956,0.11609373690915994,0.94452656013417
static,0.5,0,120,900,1.79,0.8414999834950815,0.5066294444636895,0.01650760188751184,0.11400071104439911,0.9321022608594428
static,0.5,0,140,900,1.6888888888888889,0.738533749239283,0.5037371770884033,0.015921180777212923,0.1172819380730607,0.9348186415636507
static,0.5,0,160,900,1.691111111111111,0.7181216926344022,0.49739256853139524,0.019108608024065856,0.11943454012378248,0.9220921120949289
static,0.5,0,180,900,1.6433333333333333,0.6867880151675463,0.4959574910826677,0.0177030151434534,0.11203344959586929,0.9267709233552034
