r,epsilon,n,horizon,seed,sigma,motif_size,partition,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,101,0.003,4,fixed_half,0.5,0.7817981974135337,0.00039968508147544867,0.0,0.7813985123320583
3.8625,0.132,320,1440,101,0.003,4,median,0.7384159564971924,0.9949834179672618,0.0,0.0,0.9949834179672618
3.8625,0.132,320,1440,101,0.003,6,fixed_half,0.5,0.6962983094396653,9.80835976477999e-06,0.0,0.6962885010799005
3.8625,0.132,320,1440,101,0.003,6,median,0.7384159564971924,0.9925115739008579,0.0,0.0,0.9925115739008579
3.8625,0.132,320,1440,137,0.003,4,fixed_half,0.5,0.7709624624020295,0.000590361734316778,5.484969129235195e-05,0.7703721006677127
3.8625,0.132,320,1440,137,0.003,4,median,0.7314623594284058,0.9911849755173986,8.230045918115436e-05,8.60513059966194e-05,0.9911026750582175
3.8625,0.132,320,1440,137,0.003,6,fixed_half,0.5,0.6807857539918203,1.6174444034218057e-05,0.0,0.680769579547786
3.8625,0.132,320,1440,137,0.003,6,median,0.7314623594284058,0.9873360402994861,0.0,0.0,0.9873360402994861
3.8625,0.132,320,1440,173,0.003,4,fixed_half,0.5,0.7525006123392459,0.0006877418276762774,6.799411983405972e-05,0.7518128705115696
3.8625,0.132,320,1440,173,0.003,4,median,0.7328697443008423,0.9801428779047654,1.64164727653824e-05,1.9438373314773462e-05,0.980126461432
3.8625,0.132,320,1440,173,0.003,6,fixed_half,0.5,0.6571261872346102,1.8698720969407825e-05,1.0097062080646211e-06,0.6571074885136409
3.8625,0.132,320,1440,173,0.003,6,median,0.7328697443008423,0.9712454883984183,0.0,0.0,0.9712454883984183
3.8625,0.132,320,1440,211,0.003,4,fixed_half,0.5,0.7665139420937243,0.00042501066293834167,1.9213642029910466e-06,0.7660889314307859
3.8625,0.132,320,1440,211,0.003,4,median,0.7315845489501953,0.994989778649525,0.0,0.0,0.994989778649525
3.8625,0.132,320,1440,211,0.003,6,fixed_half,0.5,0.6723111538717899,1.4024277251696983e-05,0.0,0.6722971295945381
3.8625,0.132,320,1440,211,0.003,6,median,0.7315845489501953,0.9926375693191105,0.0,0.0,0.9926375693191105
3.8625,0.132,320,1440,257,0.003,4,fixed_half,0.5,0.7001954390332957,0.0005874038407658944,2.906492861613748e-05,0.6996080351925298
3.8625,0.132,320,1440,257,0.003,4,median,0.7332818508148193,0.975192853983371,1.941635067404249e-06,1.9801563765768983e-06,0.9751909123483036
3.8625,0.132,320,1440,257,0.003,6,fixed_half,0.5,0.5876841284140693,1.7625675045265923e-05,0.0,0.587666502739024
3.8625,0.132,320,1440,257,0.003,6,median,0.7332818508148193,0.9636846458337336,0.0,0.0,0.9636846458337336
3.8625,0.132,320,1440,307,0.003,4,fixed_half,0.5,0.7430495120204443,0.0005869095406557283,3.9419086493545483e-05,0.7424626024797886
3.8625,0.132,320,1440,307,0.003,4,median,0.7329742908477783,0.9860122812697508,3.435808740404542e-05,3.9901946337424686e-05,0.9859779231823468
